Hạng mục( Category),Tên sản phẩm,Link affiliate shopee,Ảnh sản phẩm,Giá sale,Giá tham khảo,Link affiliate tiktok
Cần Câu,[LK HÒA] [ MUA 01 CẦN SOIL TẶNG 01 CUỘN DÙ LK X4 ] CẦN SOLID ĐA NĂNG TẢI TĨNH 10KG,https://s.shopee.vn/7AcfN1X5yB,https://i.postimg.cc/nzGjcVbq/vn-11134207-7r98o-lxfag3jyd0ij24.webp,₫990.000,₫1.240.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,"[RA MẮT - MỞ BÁN] CẦN CÂU LURE ĐỨNG 1 KHÚC TIỂU LK, CẦN CÂU CHUYÊN LURE TIỂU LK",https://s.shopee.vn/7psMKARxov,https://down-vn.img.susercontent.com/file/sg-11134253-81zwk-mn64as3es64kbb,₫450.000,₫569.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,"[BST GIỚI HẠN] CẦN CÂU CHUYÊN LURE LK SPECIAL CÁ MẬP, CẦN CÂU CHUYÊN LURE SPECIAL",https://s.shopee.vn/8pktW3apco,https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m3riuxpvqlrw39,₫1.290.000,₫1.540.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,[LK HÒA] CẦN CÂU ĐÀI BẢN RÔ CHÉP 2026,https://s.shopee.vn/4qEkkjGBut,https://i.postimg.cc/fLCyQHmF/vn-11134207-820l4-mijpqu5ki1hffe.webp,₫520.000,₫650.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,"[LK HÒA] CẦN ĐÀI LK PRO 2025 PHIÊN BẢN TỔNG HỢP ĐỘ CỨNG 5H, CẦN CÂU ĐÀI LK PRO 2025",https://s.shopee.vn/9fK0VcsMwQ,https://i.postimg.cc/7PXGFLNL/sg-11134201-824iy-mpvbj9ofcgzvd2.webp,,₫1.050.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,"[LK HOÀ] CẦN CÂU CHUYÊN LURE TIỂU HỌC SINH LK, CẦN LURE LK 1 KHÚC TIỂU HỌC",https://s.shopee.vn/2qTgN58yOH,https://i.postimg.cc/pr7n3GMc/vn-11134207-81ztc-mqifhmyoyeww59.webp,₫319.000,₫399.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,[LK HÒA] CẦN CÂU ĐÀI 5H LK TỔNG HỢP 2026,https://s.shopee.vn/5LB1Lgzjtf,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mijpzyyq2ubnf7,,₫1.320.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,"[Mua 01 cần tặng 01 chuột tiểu LK] Cần câu lure cán gỗ LK, cần câu chuyên lure",https://s.shopee.vn/1LesaM9TZj,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lsxlmcegf26cca,₫1.190.000,₫1.480.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,"CẦN CÂU CHUYÊN LURE CHEAP LK GIÁ HỌC SINH SINH VIÊN, CẦN LURE LK CHEAP CHUYÊN LURE",https://s.shopee.vn/5Arb9PvItR,https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m1chcac36qzgc1,,₫740.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,[LK HÒA] [MUA 01 CẦN TẶNG 01 GÓI CÁM CHÉP LK] CẦN CÂU LK HÒA - PHIÊN BẢN TỔNG HỢP - 5H,https://s.shopee.vn/3qMDYyviHy,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lqn05km3n7sn19,,₫1.240.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,[LK HOA] [KHI MUA 01 CẦN ĐƯỢC TẶNG 01 CÁI PHAO SỐ 5 ] CẦN ĐÀI VIP LK PHIÊN BẢN MỚI 2024,https://s.shopee.vn/6fgOwCckrh,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-luz04cvitlwl90,₫1.990.000,₫2.540.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,"[LK HÒA] BỘ 2 SẢN PHẨM CẦN CÂU CHEAP LK VÀ MÁY DAIWA RS, BỘ CẦN MÁY CHUYÊN CÂU LURE",https://s.shopee.vn/8V837aM9xd,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m7onm666kfb77a,,₫1.610.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,"[LK HÒA] [ MUA 01 CẦN TẶNG 01 DÙ LK X4 ] CẦN SV SINH VIÊN PRO PHIÊN BẢN MỚI NHẤT 2025, CẦN CÂU LURE SV 2025",https://s.shopee.vn/7fYw85rsXj,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mqig0p23r2f67a,₫880.000,₫1.080.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,[LK HÒA] [ MUA 01 CẦN TẶNG 01 DÙ LK X4 ] CẦN CÂU SOLID PRO LK 2026,https://s.shopee.vn/50YAxD1ctm,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mqiforgqghsd3d,,₫1.550.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,"[LK HÒA] CẦN CÂU CHUYÊN LURE STAR LK, CẦN 1 KHÚC STAR",https://s.shopee.vn/80BmWjcStk,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mqifcknlayvh01,₫459.000,₫569.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,[lLK HÒA] CẦN CÂU UL LK CHUYÊN ĐÁNH CÁC DÒNG CÁ SUỐI VÀ CÁ BÉ Đi Câu Bắt Cá,https://s.shopee.vn/1BLSOBzfZb,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mqiftbu7ixakd5,₫399.000,₫499.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,"[LK HOÀ] [MUA 01 CẦN TẶNG 01 GÓI CÁM CHÉP VÀNG] CẦN ĐÀI LK RÔ CHÉP PRO 2025 PHIÊN BẢN 4H,CHUYÊN CÂU ĐÀI bắt cá đi câu",https://s.shopee.vn/5LB1Lrz4pK,https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m35w8otv4tg9d0,,₫960.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,"[LK HÒA] BỘ 2 SẢN PHẨM CẦN CHEAP VÀ MÁY DAIWA MG, BỘ 2 CẦN CHUYÊN CÂU LURE",https://s.shopee.vn/5LB1Lsq9GX,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m6s4gwnz360o9c,,,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,"[LK HÒA] CẦN CÂU CHUYÊN LURE SUỐI LK KHOEN FUJI, CẦN CHUYÊN ĐÁNH CÁC DÒNG CÁ SUỐI VÀ CÁ BÉ",https://s.shopee.vn/qibzcksRR,https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m35wfxl1h0grec,₫760.000,₫950.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,"[LK HÒA] BỘ 2 SẢN PHẨM CẦN CÂU CHEAP LK VÀ MÁY DAIWA RS, BỘ CẦN MÁY CHUYÊN CÂU LURE",https://s.shopee.vn/LmLOiV7ag,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m7onm666kfb77a,,₫1.610.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,"[LK HÒA] COMBO CHUYÊN LURE CẦN LK, MÁY ĐỨNG RS, MỒI, DÙ FULL BỘ 07 SẢN PHẨM",https://s.shopee.vn/904JiepooK,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ltt6jwdl10cq1c,₫2.290.000,₫2.800.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,[LK HÒA] [Mua 01 cần tặng 01 túi lưỡi rô chép 12 cái] CẦN CÂU TAY LK HÒA - PHIÊN BẢN SĂN RÔ CHÉP - 4H,https://s.shopee.vn/9zwquW61bu,https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m0u7dwpmb43za5,,,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,"[LK HÒA] [MUA 01 CẦN TẶNG 01 CUỘN DÙ LK X4] CẦN LURE LK SV SINH VIÊN , CẦN LURE LK PHIÊN BẢN MỚI, CẦN CHUYÊN CÂU LURE LK",https://s.shopee.vn/8fRTK5CgtI,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lyhbytkwawf54c,,₫1.040.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,"[LK HÒA] CẦN TWO LK, CẦN LURE 2 NGỌN LK, CẦN CÂU CHUYÊN LURE LK",https://s.shopee.vn/6Ak8LVJsZR,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mqlc9ulybaj21f,₫620.000,₫769.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,"[LK HÒA] BỘ 2 SẢN PHẨM CẦN CHEAP VÀ MÁY DAIWA MG, BỘ 2 CẦN CHUYÊN CÂU LURE",https://s.shopee.vn/8KocvV2uOP,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m6s4gwnz360o9c,,,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Cần Câu,"[LK HÒA] CẦN CÂU CHUYÊN LURE LK HỌC SINH, CẦN LURE LK GIÁ RẺ PHIÊN BẢN HỌC SINH",https://s.shopee.vn/5fnrkc3NOJ,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m7hkh1s1v37gd5,,₫643.684,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Máy Câu,"[LK HÒA]  MÁY CÂU CHUYÊN LURE DAIWA MG, MÁY CÂU ĐỨNG CHUYÊN CÂU LURE HÃNG DAIWA Đi Câu Bắt Cá",https://s.shopee.vn/1VyImy5ly6,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m7om2i8v129y3c,₫850.000,₫1.050.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
